Ceremony	Year	Class	CanonicalCategory	Category	Film	FilmId	Name	Nominees	NomineeIds	Winner	Detail	Note	Citation
8	1935	SciTech	SCIENTIFIC OR TECHNICAL AWARD (Class III)	SCIENTIFIC OR TECHNICAL AWARD (Class III)				Nathan Levinson	nm0506080	True	Sound		To NATHAN LEVINSON
9	1936	Acting	ACTOR IN A LEADING ROLE	ACTOR	Mr. Deeds Goes to Town	tt0027996	Gary Cooper	Gary Cooper	nm0000011		Longfellow Deeds		
9	1936	Acting	ACTOR IN A LEADING ROLE	ACTOR	Dodsworth	tt0027532	Walter Huston	Walter Huston	nm0404158		Sam Dodsworth		
9	1936	Acting	ACTOR IN A LEADING ROLE	ACTOR	The Story of Louis Pasteur	tt0028313	Paul Muni	Paul Muni	nm0612847	True	Louis Pasteur		
9	1936	Acting	ACTOR IN A LEADING ROLE	ACTOR	My Man Godfrey	tt0028010	William Powell	William Powell	nm0001635		Godfrey Parks		
9	1936	Acting	ACTOR IN A LEADING ROLE	ACTOR	San Francisco	tt0028216	Spencer Tracy	Spencer Tracy	nm0000075		Father Tim Mullen		
9	1936	Acting	ACTOR IN A SUPPORTING ROLE	ACTOR IN A SUPPORTING ROLE	My Man Godfrey	tt0028010	Mischa Auer	Mischa Auer	nm0041681		Carlo		
9	1936	Acting	ACTOR IN A SUPPORTING ROLE	ACTOR IN A SUPPORTING ROLE	Come and Get It	tt0027459	Walter Brennan	Walter Brennan	nm0000974	True	Swan Bostrom		
9	1936	Acting	ACTOR IN A SUPPORTING ROLE	ACTOR IN A SUPPORTING ROLE	Pigskin Parade	tt0028103	Stuart Erwin	Stuart Erwin	nm0260020		Amos Dodd		
9	1936	Acting	ACTOR IN A SUPPORTING ROLE	ACTOR IN A SUPPORTING ROLE	Romeo and Juliet	tt0028203	Basil Rathbone	Basil Rathbone	nm0001651		Tybalt		
9	1936	Acting	ACTOR IN A SUPPORTING ROLE	ACTOR IN A SUPPORTING ROLE	The General Died at Dawn	tt0027664	Akim Tamiroff	Akim Tamiroff	nm0848667		General Yang		
9	1936	Acting	ACTRESS IN A LEADING ROLE	ACTRESS	Theodora Goes Wild	tt0028355	Irene Dunne	Irene Dunne	nm0002050		Theodora Lynn		
9	1936	Acting	ACTRESS IN A LEADING ROLE	ACTRESS	Valiant Is the Word for Carrie	tt0028455	Gladys George	Gladys George	nm0313438		Carrie Snyder		
9	1936	Acting	ACTRESS IN A LEADING ROLE	ACTRESS	My Man Godfrey	tt0028010	Carole Lombard	Carole Lombard	nm0001479		Irene Bullock		
9	1936	Acting	ACTRESS IN A LEADING ROLE	ACTRESS	The Great Ziegfeld	tt0027698	Luise Rainer	Luise Rainer	nm0707023	True	Anna Held		
9	1936	Acting	ACTRESS IN A LEADING ROLE	ACTRESS	Romeo and Juliet	tt0028203	Norma Shearer	Norma Shearer	nm0790454		Juliet		
9	1936	Acting	ACTRESS IN A SUPPORTING ROLE	ACTRESS IN A SUPPORTING ROLE	The Gorgeous Hussy	tt0027690	Beulah Bondi	Beulah Bondi	nm0094135		Rachel Jackson		
9	1936	Acting	ACTRESS IN A SUPPORTING ROLE	ACTRESS IN A SUPPORTING ROLE	My Man Godfrey	tt0028010	Alice Brady	Alice Brady	nm0103567		Angelica Bullock		
9	1936	Acting	ACTRESS IN A SUPPORTING ROLE	ACTRESS IN A SUPPORTING ROLE	These Three	tt0028356	Bonita Granville	Bonita Granville	nm0335748		Mary Tilford		
9	1936	Acting	ACTRESS IN A SUPPORTING ROLE	ACTRESS IN A SUPPORTING ROLE	Dodsworth	tt0027532	Maria Ouspenskaya	Maria Ouspenskaya	nm0653642		Baroness von Obersdorf		
9	1936	Acting	ACTRESS IN A SUPPORTING ROLE	ACTRESS IN A SUPPORTING ROLE	Anthony Adverse	tt0027300	Gale Sondergaard	Gale Sondergaard	nm0814216	True	Faith Paleologue		
9	1936	Production	ART DIRECTION	ART DIRECTION	Anthony Adverse	tt0027300	Anton Grot	Anton Grot	nm0343819				
9	1936	Production	ART DIRECTION	ART DIRECTION	Dodsworth	tt0027532	Richard Day	Richard Day	nm0206554	True			
9	1936	Production	ART DIRECTION	ART DIRECTION	The Great Ziegfeld	tt0027698	Cedric Gibbons						
9	1936	Production	ART DIRECTION	ART DIRECTION	Lloyds of London	tt0027902	William S. Darling	William S. Darling	nm0201419				
9	1936	Production	ART DIRECTION	ART DIRECTION	The Magnificent Brute	tt0027930	Albert S. D'Agostino						
9	1936	Production	ART DIRECTION	ART DIRECTION	Romeo and Juliet	tt0028203	Cedric Gibbons						
9	1936	Production	ART DIRECTION	ART DIRECTION	Winterset	tt0028511	Perry Ferguson	Perry Ferguson	nm0272572				
9	1936	Directing	ASSISTANT DIRECTOR	ASSISTANT DIRECTOR	Anthony Adverse	tt0027300	William Cannon	William Cannon	nm0134284				
9	1936	Directing	ASSISTANT DIRECTOR	ASSISTANT DIRECTOR	The Charge of the Light Brigade	tt0027438	Jack Sullivan	Jack Sullivan	nm0838105	True			
9	1936	Directing	ASSISTANT DIRECTOR	ASSISTANT DIRECTOR	The Garden of Allah	tt0027657	Eric G. Stacey	Eric G. Stacey	nm0820947				
9	1936	Directing	ASSISTANT DIRECTOR	ASSISTANT DIRECTOR	The Last of the Mohicans	tt0027869	Clem Beauchamp	Clem Beauchamp	nm0064303				
9	1936	Directing	ASSISTANT DIRECTOR	ASSISTANT DIRECTOR	San Francisco	tt0028216	Joseph Newman	Joseph Newman	nm0628149				
9	1936	Production	CINEMATOGRAPHY	CINEMATOGRAPHY	Anthony Adverse	tt0027300	Gaetano Gaudio	Gaetano Gaudio	nm0309974	True			
9	1936	Production	CINEMATOGRAPHY	CINEMATOGRAPHY	The General Died at Dawn	tt0027664	Victor Milner	Victor Milner	nm0005800				
9	1936	Production	CINEMATOGRAPHY	CINEMATOGRAPHY	The Gorgeous Hussy	tt0027690	George Folsey	George Folsey	nm0005706				
9	1936	Music	DANCE DIRECTION	DANCE DIRECTION	Gold Diggers of 1937	tt0027686	Busby Berkeley	Busby Berkeley	nm0000923		Love and War		
9	1936	Music	DANCE DIRECTION	DANCE DIRECTION	Cain and Mabel	tt0027413	Bobby Connolly	Bobby Connolly	nm0175265		1000 Love Songs		
9	1936	Music	DANCE DIRECTION	DANCE DIRECTION	The Great Ziegfeld	tt0027698	Seymour Felix	Seymour Felix	nm0271344	True	A Pretty Girl Is Like a Melody		
9	1936	Music	DANCE DIRECTION	DANCE DIRECTION	Born to Dance	tt0027387	Dave Gould	Dave Gould	nm0332346		Swingin' the Jinx		
9	1936	Music	DANCE DIRECTION	DANCE DIRECTION	One in a Million	tt0028063	Jack Haskell	Jack Haskell	nm0368129		Skating Ensemble		
9	1936	Music	DANCE DIRECTION	DANCE DIRECTION	Dancing Pirate	tt0027496	Russell Lewis	Russell Lewis	nm0507715		The Finale		
9	1936	Music	DANCE DIRECTION	DANCE DIRECTION	Swing Time	tt0028333	Hermes Pan	Hermes Pan	nm0659009		Bojangles of Harlem		
9	1936	Directing	DIRECTING	DIRECTING	Dodsworth	tt0027532	William Wyler	William Wyler	nm0943758				
9	1936	Directing	DIRECTING	DIRECTING	The Great Ziegfeld	tt0027698	Robert Z. Leonard	Robert Z. Leonard	nm0502752				
9	1936	Directing	DIRECTING	DIRECTING	Mr. Deeds Goes to Town	tt0027996	Frank Capra	Frank Capra	nm0001008	True			
9	1936	Directing	DIRECTING	DIRECTING	My Man Godfrey	tt0028010	Gregory La Cava	Gregory La Cava	nm0478441				
9	1936	Directing	DIRECTING	DIRECTING	San Francisco	tt0028216	W. S. Van Dyke	W. S. Van Dyke	nm0886754				
9	1936	Production	FILM EDITING	FILM EDITING	Anthony Adverse	tt0027300	Ralph Dawson	Ralph Dawson	nm0206238	True			
9	1936	Production	FILM EDITING	FILM EDITING	Come and Get It	tt0027459	Edward Curtiss	Edward Curtiss	nm0193562				
9	1936	Production	FILM EDITING	FILM EDITING	The Great Ziegfeld	tt0027698	William S. Gray	William S. Gray	nm0337013				
9	1936	Production	FILM EDITING	FILM EDITING	Lloyds of London	tt0027902	Barbara McLean	Barbara McLean	nm0572492				
9	1936	Production	FILM EDITING	FILM EDITING	A Tale of Two Cities	tt0027075	Conrad A. Nervig	Conrad A. Nervig	nm0626308				
9	1936	Production	FILM EDITING	FILM EDITING	Theodora Goes Wild	tt0028355	Otto Meyer	Otto Meyer	nm0583301				
9	1936	Music	MUSIC (Original Song Score or Adaptation Score)	MUSIC (Scoring)	Anthony Adverse	tt0027300	Warner Bros. Studio Music Department						
9	1936	Music	MUSIC (Original Song Score or Adaptation Score)	MUSIC (Scoring)	The Charge of the Light Brigade	tt0027438	Warner Bros. Studio Music Department						
9	1936	Music	MUSIC (Original Song Score or Adaptation Score)	MUSIC (Scoring)	The Garden of Allah	tt0027657	Selznick International Pictures Music Department						
9	1936	Music	MUSIC (Original Song Score or Adaptation Score)	MUSIC (Scoring)	The General Died at Dawn	tt0027664	Paramount Studio Music Department						
9	1936	Music	MUSIC (Original Song Score or Adaptation Score)	MUSIC (Scoring)	Winterset	tt0028511	RKO Radio Studio Music Department						
9	1936	Music	MUSIC (Original Song)	MUSIC (Song)	Suzy	tt0028330	Music by Walter Donaldson; Lyrics by Harold Adamson	Walter Donaldson|Harold Adamson	nm0232164|nm0011488		Did I Remember		
9	1936	Music	MUSIC (Original Song)	MUSIC (Song)	Born to Dance	tt0027387	Music and Lyrics by Cole Porter	Cole Porter	nm0006234		I've Got You Under My Skin		
9	1936	Music	MUSIC (Original Song)	MUSIC (Song)	Trail of the Lonesome Pine	tt0028401	Music by Louis Alter; Lyrics by Sidney Mitchell	Louis Alter|Sidney Mitchell	nm0022746|nm0593733		A Melody From The Sky		
9	1936	Music	MUSIC (Original Song)	MUSIC (Song)	Pennies from Heaven	tt0028092	Music by Arthur Johnston; Lyrics by Johnny Burke	Arthur Johnston|Johnny Burke	nm0426534|nm0121741		Pennies From Heaven		
9	1936	Music	MUSIC (Original Song)	MUSIC (Song)	Swing Time	tt0028333	Music by Jerome Kern; Lyrics by Dorothy Fields	Jerome Kern|Dorothy Fields	nm0006153|nm0276227	True	The Way You Look Tonight		
9	1936	Music	MUSIC (Original Song)	MUSIC (Song)	Sing, Baby, Sing	tt0028235							
9	1936	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Anthony Adverse	tt0027300	Warner Bros.	Warner Bros.	co0080422				
9	1936	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Dodsworth	tt0027532	Samuel Goldwyn Productions	Samuel Goldwyn Productions	co0058013				
9	1936	Title	BEST PICTURE	OUTSTANDING PRODUCTION	The Great Ziegfeld	tt0027698	Metro-Goldwyn-Mayer	Metro-Goldwyn-Mayer	co0007143	True			
9	1936	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Libeled Lady	tt0027884	Metro-Goldwyn-Mayer	Metro-Goldwyn-Mayer	co0007143				
9	1936	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Mr. Deeds Goes to Town	tt0027996	Columbia	Columbia	co0050868				
9	1936	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Romeo and Juliet	tt0028203	Metro-Goldwyn-Mayer	Metro-Goldwyn-Mayer	co0007143				
9	1936	Title	BEST PICTURE	OUTSTANDING PRODUCTION	San Francisco	tt0028216	Metro-Goldwyn-Mayer	Metro-Goldwyn-Mayer	co0007143				
9	1936	Title	BEST PICTURE	OUTSTANDING PRODUCTION	The Story of Louis Pasteur	tt0028313	Cosmopolitan	Cosmopolitan	co0073404				
9	1936	Title	BEST PICTURE	OUTSTANDING PRODUCTION	A Tale of Two Cities	tt0027075	Metro-Goldwyn-Mayer	Metro-Goldwyn-Mayer	co0007143				
9	1936	Title	BEST PICTURE	OUTSTANDING PRODUCTION	Three Smart Girls	tt0028373	Universal	Universal	co0005073				
9	1936	Title	SHORT FILM (Animated)	SHORT SUBJECT (Cartoon)	The Country Cousin	tt0027468	Walt Disney						
9	1936	Title	SHORT FILM (Animated)	SHORT SUBJECT (Cartoon)	Old Mill Pond	tt0028057	Harman-Ising	Hugh Harman|Rudolf Ising	nm0363414|nm0411208				
9	1936	Title	SHORT FILM (Animated)	SHORT SUBJECT (Cartoon)	Sinbad the Sailor	tt0028119	Paramount	Paramount	co0023400				
9	1936	Title	SHORT SUBJECT (Color)	SHORT SUBJECT (Color)	Give Me Liberty	tt0027678	Warner Bros.	Warner Bros.	co0080422	True			
9	1936	Title	SHORT SUBJECT (Color)	SHORT SUBJECT (Color)	La Fiesta de Santa Barbara	tt0027616	Lewis Lewyn						
9	1936	Title	SHORT SUBJECT (Color)	SHORT SUBJECT (Color)	Popular Science J-6-2	tt0026880	Paramount	Paramount	co0023400				
